,sub_id,sub_name,line,longtitude,latitude,bike_id
115,4117,노량진역,9호선,126.941005,37.513534,"[2050, 2054, 2058, 2070]"
116,4116,샛강역,9호선,126.928422,37.517274,"[219, 220, 223, 224, 225, 226, 259, 2081]"
117,4115,여의도역,9호선,126.92403,37.52176,"[209, 210, 211, 212, 213, 214, 219, 220, 270, 271, 4589, 4590, 218]"
118,4114,국회의사당역,9호선,126.917874,37.528105,"[200, 201, 203, 204, 205, 206, 297, 298, 4580, 4582, 4583, 4584]"
119,4113,당산역,9호선,126.902809,37.533406,"[244, 247, 267, 268, 272, 290, 3201]"
120,4112,선유도역,9호선,126.893525,37.53802,"[228, 229, 267, 4560, 4594]"
121,4111,신목동역,9호선,126.88308,37.544277,"[227, 744, 766]"
122,4110,염창역,9호선,126.874916,37.546936,"[700, 773, 1169, 1171, 2703, 3761, 5067]"
123,4109,등촌역,9호선,126.865689,37.550632,"[742, 774, 1115, 1119, 1132, 1170, 5075]"
124,4108,증미역,9호선,126.861939,37.557402,"[1118, 1121, 1172, 3763, 3769]"
125,4107,가양역,9호선,126.854456,37.561391,"[1120, 1158, 1185, 2704, 2709, 2742, 3780, 3755]"
126,4106,양천향교역,9호선,126.841333,37.568381,"[1160, 1196, 2707, 2710, 2724, 2725, 2743, 3775, 3782, 5064]"
127,4105,마곡나루역,9호선,126.82731,37.566778,"[1111, 1112, 1198, 2701, 2715, 2716, 2727, 2728, 2729, 5062]"
128,4104,신방화역,9호선,126.816601,37.567532,"[1111, 1149, 1163, 1165, 2702, 3754, 3756, 3757, 3772]"
129,4103,공항시장역,9호선,126.810678,37.563726,"[1108, 1109, 1150, 3778, 3795, 3796, 5072]"
130,4102,김포공항역,9호선,126.802152,37.561916,[5072]
131,4101,개화역,9호선,126.798153,37.578608,"[1101, 1200]"
132,3763,석남(거북시장)역,7호선,126.6762813,37.5062285,[]
133,3762,산곡역,7호선,126.7035277,37.5086,[]
134,3227,운연(서창)역,인천2호선,126.75997,37.440127,[]
135,3226,인천대공원역,인천2호선,126.752618,37.448769,[]
136,3225,남동구청역,인천2호선,126.736939,37.448161,[]
137,3224,만수역,인천2호선,126.732094,37.454911,[]
138,3223,모래내시장역,인천2호선,126.719298,37.45583,[]
139,3222,석천사거리역,인천2호선,126.709986,37.456805,[]
140,3221,인천시청역,인천2호선,126.701306,37.456833,[]
141,3220,석바위시장역,인천2호선,126.692575,37.457611,[]
142,3219,시민공원(문화창작지대)역,인천2호선,126.681192,37.458335,[]
143,3218,주안역,인천2호선,126.679098,37.464992,[]
144,3217,주안국가산단역,인천2호선,126.68113,37.473703,[]
145,3216,가재울역,인천2호선,126.683673,37.484192,[]
146,3215,인천가좌역,인천2호선,126.675208,37.4897,[]
147,3214,서부여성회관역,인천2호선,126.675795,37.500168,[]
148,3213,석남(거북시장)역,인천2호선,126.676203,37.506193,[]
149,3212,가정중앙시장역,인천2호선,126.676672,37.517054,[]
150,3211,가정(루원시티)역,인천2호선,126.675539,37.524649,[]
151,3210,서구청역,인천2호선,126.676787,37.543742,[]
152,3209,아시아드경기장(공촌사거리)역,인천2호선,126.677122,37.5517,[]
153,3208,검바위역,인천2호선,126.677566,37.561405,[]
154,3207,검암역,인천2호선,126.675687,37.56866,[]
155,3206,독정역,인천2호선,126.675844,37.585212,[]
156,3205,완정역,인천2호선,126.673203,37.592928,[]
157,3204,마전역,인천2호선,126.666998,37.597566,[]
158,3203,검단사거리역,인천2호선,126.657108,37.60185,[]
159,3202,왕길역,인천2호선,126.642696,37.59518,[]
160,3201,검단오류(검단산업단지)역,인천2호선,126.627178,37.594877,[]
161,3139,송도달빛축제공원역,인천1호선,126.62597,37.407143,[]
162,3138,국제업무지구역,인천1호선,126.630347,37.399907,[]
163,3137,센트럴파크역,인천1호선,126.634729,37.393054,[]
164,3136,인천대입구역,인천1호선,126.639484,37.386007,[]
165,3135,지식정보단지역,인천1호선,126.645168,37.378384,[]
166,3134,테크노파크역,인천1호선,126.656365,37.382268,[]
167,3133,캠퍼스타운역,인천1호선,126.661673,37.387855,[]
168,3132,동막역,인천1호선,126.674005,37.397878,[]
169,3131,동춘역,인천1호선,126.681015,37.404737,[]
170,3130,원인재역,인천1호선,126.687869,37.412333,[]
171,3129,신연수역,인천1호선,126.693863,37.41804,[]
172,3128,선학역,인천1호선,126.698863,37.426684,[]
173,3127,문학경기장역,인천1호선,126.698579,37.434935,[]
174,3126,인천터미널역,인천1호선,126.699706,37.442383,[]
175,3125,예술회관역,인천1호선,126.701012,37.449396,[]
176,3124,인천시청역,인천1호선,126.702143,37.457263,[]
177,3123,간석오거리역,인천1호선,126.707938,37.467048,[]
178,3122,부평삼거리역,인천1호선,126.710208,37.477679,[]
179,3121,동수역,인천1호선,126.718247,37.485312,[]
180,3120,부평역,인천1호선,126.723453,37.490535,[]
181,3119,부평시장역,인천1호선,126.722244,37.498383,[]
182,3118,부평구청역,인천1호선,126.720555,37.508407,[]
183,3117,갈산역,인천1호선,126.721514,37.517268,[]
184,3116,작전역,인천1호선,126.722527,37.530415,[]
185,3115,경인교대입구역,인천1호선,126.722597,37.538157,[]
186,3114,계산역,인천1호선,126.728128,37.543238,[]
187,3113,임학역,인천1호선,126.738665,37.545059,[]
188,3112,박촌역,인천1호선,126.745077,37.553703,[]
189,3111,귤현역,인천1호선,126.742654,37.566379,[]
190,3110,계양역,인천1호선,126.73578,37.571449,[]
191,2828,남위례역,8호선,127.13977,37.4624,[]
192,2827,모란역,8호선,127.129837,37.433824,[]
193,2826,수진역,8호선,127.140722,37.437428,[]
194,2825,신흥역,8호선,127.147564,37.440918,[]
195,2824,단대오거리역,8호선,127.156866,37.44521,[]
