bi_st_id,sub_st_id,sub_name,sub_line,sub_long,sub_lat
327,0,,,,
328,0,,,,
329,0,,,,
331,0,,,,
332,0,,,,
334,319,종로3가,3호선,126.991791,37.571605
335,153,종로3가,1호선,126.991847,37.570406
336,0,,,,
337,0,,,,
338,0,,,,
339,0,,,,
340,0,,,,
341,420,혜화,4호선,127.001844,37.582336
342,0,,,,
343,0,,,,
344,0,,,,
345,0,,,,
346,0,,,,
347,422,동대문역사문화공원,4호선,127.007885,37.565133
348,0,,,,
349,0,,,,
351,0,,,,
352,0,,,,
353,0,,,,
354,0,,,,
355,0,,,,
356,0,,,,
358,0,,,,
359,0,,,,
361,2637,동묘앞,6호선,127.015653,37.572279
362,0,,,,
363,4713,신설동,우이신설선,127.023242,37.576095
364,2638,창신,6호선,127.015241,37.579661
367,316,독립문,3호선,126.957748,37.574571
368,0,,,,
369,0,,,,
370,201,시청,2호선,126.975411,37.563588
371,322,동대입구,3호선,127.005602,37.559052
372,2634,약수,6호선,127.010358,37.554263
374,2635,청구,6호선,127.013986,37.560608
379,150,서울역,1호선,126.972135,37.556228
380,0,,,,
381,322,동대입구,3호선,127.005602,37.559052
382,2634,약수,6호선,127.010358,37.554263
383,2636,신당,6호선,127.016146,37.566154
384,0,,,,
385,152,종각,1호선,126.982923,37.570161
387,0,,,,
388,0,,,,
389,2536,을지로4가,5호선,126.998032,37.567352
390,423,충무로,4호선,126.99408,37.561207
391,0,,,,
393,421,동대문,4호선,127.009287,37.57093
394,0,,,,
395,0,,,,
397,0,,,,
398,320,을지로3가,3호선,126.992548,37.566672
399,0,,,,
400,0,,,,
401,0,,,,
402,0,,,,
403,0,,,,
405,0,,,,
406,0,,,,
407,0,,,,
408,0,,,,
409,0,,,,
410,0,,,,
411,0,,,,
412,0,,,,
413,0,,,,
414,0,,,,
415,4204,디지털미디어시티,공항철도1호선,126.898609,37.576958
416,0,,,,
417,0,,,,
418,2620,월드컵경기장,6호선,126.899298,37.569532
419,2620,월드컵경기장,6호선,126.899298,37.569532
420,0,,,,
421,0,,,,
422,0,,,,
424,0,,,,
425,0,,,,
426,0,,,,
427,0,,,,
428,0,,,,
429,0,,,,
430,0,,,,
431,0,,,,
432,0,,,,
433,202,을지로입구,2호선,126.982618,37.566014
434,0,,,,
435,0,,,,
436,241,이대,2호선,126.946013,37.556733
437,2626,대흥,6호선,126.942069,37.547771
438,0,,,,
439,0,,,,
440,0,,,,
441,0,,,,
442,1001,서울역,경부선,126.971134,37.554337
443,0,,,,
445,0,,,,
446,0,,,,
447,0,,,,
449,0,,,,
450,0,,,,
451,0,,,,
452,0,,,,
453,154,종로5가,1호선,127.001849,37.570926
454,0,,,,
455,0,,,,
456,0,,,,
457,0,,,,
458,0,,,,
461,0,,,,
462,0,,,,
464,0,,,,
465,0,,,,
466,0,,,,
467,0,,,,
468,0,,,,
469,0,,,,
470,0,,,,
471,0,,,,
472,0,,,,
473,2536,을지로4가,5호선,126.998032,37.567352
474,422,동대문역사문화공원,4호선,127.007885,37.565133
475,0,,,,
476,0,,,,
477,0,,,,
479,322,동대입구,3호선,127.005602,37.559052
480,2634,약수,6호선,127.010358,37.554263
481,2636,신당,6호선,127.016146,37.566154
483,2633,버티고개,6호선,127.007055,37.548013
484,0,,,,
485,0,,,,
486,0,,,,
487,0,,,,
488,0,,,,
489,0,,,,
490,0,,,,
491,0,,,,
492,0,,,,
493,0,,,,
494,0,,,,
495,0,,,,
497,0,,,,
498,0,,,,
500,2728,어린이대공원,7호선,127.074658,37.548014
501,0,,,,
502,2730,뚝섬유원지,7호선,127.066704,37.53154
505,0,,,,
506,0,,,,
507,0,,,,
508,0,,,,
509,0,,,,
510,0,,,,
511,1847,서울숲,분당선,127.044707,37.543617
512,0,,,,
513,0,,,,
514,0,,,,
515,0,,,,
516,0,,,,
518,0,,,,
519,0,,,,
520,207,상왕십리,2호선,127.029354,37.564354
521,0,,,,
522,324,금호,3호선,127.015872,37.548034
523,0,,,,
524,0,,,,
525,0,,,,
526,0,,,,
529,2544,장한평,5호선,127.064623,37.56144
530,0,,,,
533,0,,,,
534,0,,,,
535,0,,,,
536,2540,행당,5호선,127.029476,37.557322
537,0,,,,
538,0,,,,
539,0,,,,
540,2727,군자,7호선,127.079338,37.556897
542,214,강변,2호선,127.094681,37.535095
543,214,강변,2호선,127.094681,37.535095
544,0,,,,
546,0,,,,
548,0,,,,
549,2546,아차산,5호선,127.089761,37.551691
550,0,,,,
551,0,,,,
552,0,,,,
553,0,,,,
555,0,,,,
556,0,,,,
557,0,,,,
558,0,,,,
559,2541,왕십리,5호선,127.037059,37.56184
560,0,,,,
561,1847,서울숲,분당선,127.044707,37.543617
562,0,,,,
563,0,,,,
564,324,금호,3호선,127.015872,37.548034
565,1011,옥수,경원선,127.018672,37.540446
567,211,성수,2호선,127.055961,37.544581
568,0,,,,
569,0,,,,
571,2728,어린이대공원,7호선,127.074658,37.548014
572,0,,,,
573,0,,,,
574,2546,아차산,5호선,127.089761,37.551691
575,0,,,,
576,2547,광나루,5호선,127.10357,37.545303
577,0,,,,
578,0,,,,
579,2542,마장,5호선,127.042973,37.5661
582,0,,,,
583,0,,,,
584,0,,,,
585,0,,,,
586,0,,,,
587,0,,,,
588,2730,뚝섬유원지,7호선,127.066704,37.53154
589,211,성수,2호선,127.055961,37.544581
590,0,,,,
591,0,,,,
592,0,,,,
593,0,,,,
594,0,,,,
600,0,,,,
601,0,,,,
602,0,,,,
604,0,,,,
605,0,,,,
606,0,,,,
607,1017,신이문,경원선,127.067325,37.601854
608,0,,,,
609,0,,,,
610,0,,,,
612,0,,,,
613,4713,신설동,우이신설선,127.023242,37.576095
614,0,,,,
615,0,,,,
616,0,,,,
617,0,,,,
621,0,,,,
622,0,,,,
623,0,,,,
624,0,,,,
625,0,,,,
626,0,,,,
627,0,,,,
628,0,,,,
630,0,,,,
631,0,,,,
633,158,청량리,1호선,127.044585,37.579956
634,0,,,,
635,0,,,,
636,0,,,,
637,0,,,,
638,0,,,,
639,0,,,,
640,0,,,,
641,250,용두,2호선,127.038091,37.574028
642,0,,,,
643,0,,,,
646,2544,장한평,5호선,127.064623,37.56144
647,1017,신이문,경원선,127.067325,37.601854
648,0,,,,
650,0,,,,
652,0,,,,
654,0,,,,
656,0,,,,
657,0,,,,
658,0,,,,
659,157,제기동,1호선,127.034893,37.578103
660,0,,,,
661,0,,,,
663,1016,외대앞,경원선,127.063549,37.596073
664,0,,,,
665,0,,,,
666,0,,,,
667,0,,,,
668,0,,,,
669,0,,,,
670,0,,,,
671,4713,신설동,우이신설선,127.023242,37.576095
672,0,,,,
673,0,,,,
674,0,,,,
676,0,,,,
677,158,청량리,1호선,127.044585,37.579956
678,0,,,,
679,0,,,,
680,0,,,,
681,0,,,,
700,0,,,,
701,0,,,,
702,0,,,,
703,2522,오목교,5호선,126.875181,37.524496
704,0,,,,
706,0,,,,
708,0,,,,
709,0,,,,
710,0,,,,
711,0,,,,
712,0,,,,
713,0,,,,
714,0,,,,
716,0,,,,
719,0,,,,
720,0,,,,
722,0,,,,
723,0,,,,
724,0,,,,
725,0,,,,
726,0,,,,
729,0,,,,
731,0,,,,
732,0,,,,
733,0,,,,
734,0,,,,
735,0,,,,
736,0,,,,
737,0,,,,
739,0,,,,
740,0,,,,
741,0,,,,
742,4109,등촌,9호선,126.865689,37.550632
743,0,,,,
744,4111,신목동,9호선,126.88308,37.544277
745,0,,,,
746,0,,,,
747,0,,,,
748,0,,,,
749,0,,,,
